id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_bid,first_ask,first_bid_qty,first_ask_qty,second_ask,second_ask_qty,executable_qty,pair_cost,gross_edge,market_end_ms
164440,1789807772004,1789807787035,btc-updown-5m-1789807500,5m,DOWN->UP,0.05,0.06,258.31,118.16,0.95,47.97,47.97,1.01,-0.010000000000000009,1789807800000
164500,1789807787893,1789807802923,btc-updown-5m-1789807500,5m,DOWN->UP,0.05,0.06,57.97,357.63,0.5,5.0,5.0,0.56,0.43999999999999995,1789807800000
167560,1789808614267,1789808629300,btc-updown-5m-1789808400,5m,DOWN->UP,0.06,0.07,316.96,91.72,0.94,303.33,91.72,1.01,-0.010000000000000009,1789808700000
167620,1789808629850,1789808644866,btc-updown-5m-1789808400,5m,DOWN->UP,0.06,0.07,303.33,91.72,0.93,84.0,84.0,1.0,0.0,1789808700000
167680,1789808645270,1789808660309,btc-updown-5m-1789808400,5m,DOWN->UP,0.07,0.08,142.33,677.83,0.93,328.55,328.55,1.01,-0.010000000000000009,1789808700000
167740,1789808661188,1789808676201,btc-updown-5m-1789808400,5m,DOWN->UP,0.07,0.08,358.55,605.88,0.93,218.27,218.27,1.01,-0.010000000000000009,1789808700000
167800,1789808676608,1789808691648,btc-updown-5m-1789808400,5m,DOWN->UP,0.07,0.08,218.27,660.88,0.93,109.14,109.14,1.01,-0.010000000000000009,1789808700000
167860,1789808692102,1789808707134,btc-updown-5m-1789808400,5m,DOWN->UP,0.07,0.08,184.14,786.85,0.5,232.16,232.16,0.58,0.42000000000000004,1789808700000
168404,1789808834562,1789808849578,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,390.75,800.35,0.93,488.79,488.79,1.01,-0.010000000000000009,1789809000000
168464,1789808850009,1789808865055,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,488.79,645.35,0.93,434.79,434.79,1.01,-0.010000000000000009,1789809000000
168524,1789808865438,1789808880482,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,434.79,777.71,0.93,326.88,326.88,1.01,-0.010000000000000009,1789809000000
168584,1789808880928,1789808896279,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,326.88,729.31,0.93,306.82,306.82,1.01,-0.010000000000000009,1789809000000
168640,1789808896758,1789808911825,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,306.82,704.02,0.93,455.25,455.25,1.01,-0.010000000000000009,1789809000000
168690,1789808913196,1789808928217,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,455.25,639.02,0.93,378.25,378.25,1.01,-0.010000000000000009,1789809000000
168748,1789808928513,1789808943685,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,306.82,689.02,0.93,350.82,350.82,1.01,-0.010000000000000009,1789809000000
168800,1789808943933,1789808958940,btc-updown-5m-1789808700,5m,DOWN->UP,0.07,0.08,350.82,649.02,0.93,510.67,510.67,1.01,-0.010000000000000009,1789809000000
171788,1789809820251,1789809835290,btc-updown-5m-1789809600,5m,DOWN->UP,0.01,0.02,12.0,99.0,0.99,1524.3,99.0,1.01,-0.010000000000000009,1789809900000
171848,1789809835939,1789809850985,btc-updown-5m-1789809600,5m,DOWN->UP,0.01,0.02,1519.3,85.37,0.99,1992.28,85.37,1.01,-0.010000000000000009,1789809900000
171908,1789809851813,1789809866851,btc-updown-5m-1789809600,5m,DOWN->UP,0.01,0.02,1992.28,85.37,0.99,1787.28,85.37,1.01,-0.010000000000000009,1789809900000
171966,1789809867060,1789809882085,btc-updown-5m-1789809600,5m,DOWN->UP,0.01,0.02,1787.28,20.37,0.98,642.24,20.37,1.0,0.0,1789809900000
172026,1789809882847,1789809897874,btc-updown-5m-1789809600,5m,DOWN->UP,0.02,0.03,642.24,315.2,0.98,726.24,315.2,1.01,-0.010000000000000009,1789809900000
172084,1789809898574,1789809913592,btc-updown-5m-1789809600,5m,DOWN->UP,0.02,0.03,726.24,315.2,0.62,97.77,97.77,0.65,0.35,1789809900000
176838,1789811223161,1789811238196,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,1559.44,343.0,0.97,1565.53,343.0,1.01,-0.010000000000000009,1789811400000
176898,1789811239227,1789811254256,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,1615.53,145.0,0.97,1540.61,145.0,1.01,-0.010000000000000009,1789811400000
176956,1789811254608,1789811269647,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,1540.61,195.0,0.97,1500.27,195.0,1.01,-0.010000000000000009,1789811400000
177018,1789811270468,1789811285510,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,1500.27,406.42,0.97,926.79,406.42,1.01,-0.010000000000000009,1789811400000
177078,1789811286367,1789811301460,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,920.89,489.51,0.97,962.38,489.51,1.01,-0.010000000000000009,1789811400000
177138,1789811302096,1789811317162,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,962.38,384.12,0.97,1178.38,384.12,1.01,-0.010000000000000009,1789811400000
177194,1789811317162,1789811332190,btc-updown-5m-1789811100,5m,DOWN->UP,0.03,0.04,1178.38,146.43,0.96,368.16,146.43,1.0,0.0,1789811400000
177252,1789811332867,1789811347886,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.05,368.16,43.0,0.96,788.52,43.0,1.01,-0.010000000000000009,1789811400000
177312,1789811348801,1789811363803,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.05,788.52,253.0,0.96,702.17,253.0,1.01,-0.010000000000000009,1789811400000
177408,1789811371617,1789811401435,btc-updown-5m-1789811100,5m,DOWN->UP,0.04,0.05,543.1,563.89,0.56,210.36,210.36,0.6100000000000001,0.3899999999999999,1789811400000
182396,1789812735693,1789812750909,btc-updown-5m-1789812600,5m,DOWN->UP,0.09,0.1,5.0,923.52,0.92,366.88,366.88,1.02,-0.020000000000000018,1789812900000
182454,1789812751761,1789812766772,btc-updown-5m-1789812600,5m,DOWN->UP,0.08,0.09,366.88,415.55,0.92,311.59,311.59,1.01,-0.010000000000000009,1789812900000
182516,1789812767653,1789812782703,btc-updown-5m-1789812600,5m,DOWN->UP,0.08,0.09,288.86,607.87,0.93,802.23,607.87,1.02,-0.020000000000000018,1789812900000
182572,1789812782820,1789812797878,btc-updown-5m-1789812600,5m,DOWN->UP,0.07,0.09,802.23,577.75,0.93,886.38,577.75,1.02,-0.020000000000000018,1789812900000
182630,1789812798299,1789812813359,btc-updown-5m-1789812600,5m,DOWN->UP,0.07,0.08,886.38,325.59,0.93,798.84,325.59,1.01,-0.010000000000000009,1789812900000
182690,1789812813928,1789812828933,btc-updown-5m-1789812600,5m,DOWN->UP,0.07,0.08,798.84,443.92,0.93,474.15,443.92,1.01,-0.010000000000000009,1789812900000
182750,1789812829499,1789812844544,btc-updown-5m-1789812600,5m,DOWN->UP,0.07,0.08,17.0,608.39,0.95,60.26,60.26,1.03,-0.030000000000000027,1789812900000
182810,1789812845106,1789812860364,btc-updown-5m-1789812600,5m,DOWN->UP,0.05,0.06,60.26,105.16,0.96,154.57,105.16,1.02,-0.020000000000000018,1789812900000
182868,1789812860719,1789812875732,btc-updown-5m-1789812600,5m,DOWN->UP,0.04,0.05,154.57,327.99,0.97,865.88,327.99,1.02,-0.020000000000000018,1789812900000
182954,1789812876172,1789812904077,btc-updown-5m-1789812600,5m,DOWN->UP,0.03,0.04,1448.41,215.66,0.6,653.11,215.66,0.64,0.36,1789812900000
184632,1789813332015,1789813347049,btc-updown-5m-1789813200,5m,DOWN->UP,0.11,0.12,125.31,395.38,0.89,571.12,395.38,1.01,-0.010000000000000009,1789813500000
184692,1789813347551,1789813362569,btc-updown-5m-1789813200,5m,DOWN->UP,0.11,0.12,580.34,291.0,0.88,158.0,158.0,1.0,0.0,1789813500000
184752,1789813363009,1789813378058,btc-updown-5m-1789813200,5m,DOWN->UP,0.12,0.13,268.0,5.0,0.87,466.33,5.0,1.0,0.0,1789813500000
184810,1789813378610,1789813393658,btc-updown-5m-1789813200,5m,DOWN->UP,0.13,0.14,486.33,616.0,0.87,709.55,616.0,1.01,-0.010000000000000009,1789813500000
184870,1789813394072,1789813409149,btc-updown-5m-1789813200,5m,DOWN->UP,0.13,0.14,709.55,790.54,0.87,533.28,533.28,1.01,-0.010000000000000009,1789813500000
