id,market_slug,anchor_ts_ms,market_end_ms,q1,leg1_cost,cash_before_leg1,hedge_ts_ms,paired_qty,unhedged_qty,exit_qty,zero_value_qty,exit_proceeds,leg2_with_friction,total_cost,pair_net_edge,status,invalid_future_quote,cash_limited,depth_limited,cash_at_hedge_before_exit,pnl
51396,btc-updown-5m-1789776300,1789776489389,1789776600000,142.85714285714283,10.0,395.6402174929989,1789776504401,75.0,67.85714285714283,20.0,47.85714285714283,1.2,70.875,80.875,-0.01500000000000001,reduced,False,False,True,385.6402174929989,-4.674999999999997
51458,btc-updown-5m-1789776300,1789776505354,1789776600000,142.85714285714283,10.0,315.9652174929989,1789776520396,142.85714285714283,0.0,0.0,0.0,0.0,134.99999999999997,144.99999999999997,-0.01500000000000001,complete,False,False,False,305.9652174929989,-2.142857142857139
51516,btc-updown-5m-1789776300,1789776520984,1789776600000,39.03,2.7321000000000004,170.9652174929989,1789776536013,39.03,0.0,0.0,0.0,0.0,29.857950000000002,32.590050000000005,0.16499999999999992,complete,False,False,False,168.23311749299893,6.439949999999996
52354,btc-updown-5m-1789776600,1789776742369,1789776900000,71.42857142857142,10.0,415.2623103501418,1789776757412,71.42857142857142,0.0,0.0,0.0,0.0,62.499999999999986,72.49999999999999,-0.01500000000000001,complete,False,False,False,405.2623103501418,-1.0714285714285694
52414,btc-updown-5m-1789776600,1789776757979,1789776900000,71.42857142857142,10.0,342.7623103501418,1789776773003,71.42857142857142,0.0,0.0,0.0,0.0,62.499999999999986,72.49999999999999,-0.01500000000000001,complete,False,False,False,332.7623103501418,-1.0714285714285694
52470,btc-updown-5m-1789776600,1789776773161,1789776900000,71.42857142857142,10.0,270.2623103501418,1789776788181,71.42857142857142,0.0,0.0,0.0,0.0,70.35714285714285,80.35714285714285,-0.125,complete,False,False,False,260.2623103501418,-8.92857142857143
52532,btc-updown-5m-1789776600,1789776789162,1789776900000,333.33333333333337,10.0,189.90516749299894,1789776804221,182.64484009441517,150.6884932389182,150.6884932389182,0.0,3.013769864778364,179.90516749299894,189.90516749299894,-0.01500000000000001,reduced,False,True,False,179.90516749299894,-4.246557533805401
52592,btc-updown-5m-1789776600,1789776804970,1789776900000,100.45899549261227,3.013769864778368,3.013769864778368,1789776820016,0.0,100.45899549261227,100.45899549261227,0.0,2.0091799098522456,0.0,3.013769864778368,-0.02500000000000002,impossible,False,True,False,0.0,-1.0045899549261224
52652,btc-updown-5m-1789776600,1789776820626,1789776900000,100.45899549261227,2.0091799098522456,2.0091799098522456,1789776835627,0.0,100.45899549261227,100.45899549261227,0.0,1.0045899549261228,0.0,2.0091799098522456,-0.005,impossible,False,True,False,0.0,-1.0045899549261228
52710,btc-updown-5m-1789776600,1789776836472,1789776900000,33.48633183087076,1.0045899549261228,1.0045899549261228,1789776851509,0.0,33.48633183087076,33.48633183087076,0.0,0.6697266366174153,0.0,1.0045899549261228,-0.01500000000000001,impossible,False,True,False,0.0,-0.3348633183087075
52768,btc-updown-5m-1789776600,1789776851509,1789776900000,22.324221220580508,0.6697266366174153,0.6697266366174153,1789776866522,0.0,22.324221220580508,22.324221220580508,0.0,0.4464844244116102,0.0,0.6697266366174153,-0.01500000000000001,impossible,False,True,False,0.0,-0.2232422122058051
52822,btc-updown-5m-1789776600,1789776867295,1789776900000,14.882814147053674,0.4464844244116102,0.4464844244116102,1789776882309,0.0,14.882814147053674,14.882814147053674,0.0,0.2976562829410735,0.0,0.4464844244116102,0.005000000000000009,impossible,False,True,False,0.0,-0.1488281414705367
52884,btc-updown-5m-1789776600,1789776882873,1789776900000,4.960938049017892,0.2976562829410735,0.2976562829410735,1789776897933,0.0,4.960938049017892,4.960938049017892,0.0,0.24804690245089459,0.0,0.2976562829410735,-0.005,impossible,False,True,False,0.0,-0.049609380490178906
52944,btc-updown-5m-1789776600,1789776898784,1789776900000,3.5435271778699224,0.24804690245089459,0.24804690245089459,1789776900000,0.0,3.5435271778699224,3.5435271778699224,0.0,0.21261163067219535,0.0,0.24804690245089459,,impossible,True,False,True,396.9305543801294,-0.035435271778699234
