ts_ms,event,cash,equity_lower_bound
1789775910697,1,50.18366343180339,374.5647745429145
1789775911109,2,40.18366343180339,364.5647745429145
1789775926111,1,0.0,367.82290941576343
1789776000000,0,125.0,367.82290941576343
1789776000000,0,155.0,367.82290941576343
1789776000000,0,266.1111111111111,367.82290941576343
1789776000000,0,324.38111111111107,367.8229094157634
1789776000000,0,367.8229094157634,367.8229094157634
1789776473231,2,357.8229094157634,357.8229094157634
1789776488249,1,338.9229094157634,358.9229094157634
1789776489389,2,328.9229094157634,348.9229094157634
1789776504401,1,258.0479094157634,353.0479094157634
1789776505354,2,248.0479094157634,343.0479094157634
1789776520396,1,113.04790941576343,350.90505227290623
1789776520984,2,110.31580941576343,348.1729522729063
1789776536013,1,80.45785941576342,357.3450022729063
1789776600000,0,100.45785941576342,357.3450022729063
1789776600000,0,175.45785941576344,357.3450022729063
1789776600000,0,318.31500227290627,357.3450022729063
1789776600000,0,357.3450022729063,357.3450022729063
1789776742369,2,347.3450022729063,347.3450022729063
1789776757412,1,284.8450022729063,356.27357370147774
1789776757979,2,274.8450022729063,346.27357370147774
1789776773003,1,212.3450022729063,355.20214513004913
1789776773161,2,202.3450022729063,345.20214513004913
1789776788181,1,131.98785941576347,346.27357370147774
1789776789162,2,121.98785941576347,336.27357370147774
1789776804221,1,0.0,338.1312568397888
1789776900000,0,71.42857142857142,338.1312568397889
1789776900000,0,142.85714285714283,338.1312568397888
1789776900000,0,214.28571428571425,338.1312568397888
1789776900000,0,338.1312568397888,338.1312568397888
1789777042133,2,328.1312568397888,328.1312568397888
1789777057146,1,253.54792350645548,336.8812568397888
1789777057542,2,243.54792350645548,326.8812568397888
1789777072620,1,168.96459017312213,335.6312568397888
1789777073111,2,158.96459017312213,325.6312568397888
1789777088254,1,85.21459017312212,335.21459017312213
1789777089061,2,75.21459017312212,325.21459017312213
1789777104083,1,7.1376670961990385,334.060744019276
1789777104826,2,0.0,326.92307692307696
1789777119873,1,0.0,326.92307692307696
1789777200000,0,83.33333333333334,326.9230769230769
1789777200000,0,166.66666666666669,326.92307692307696
1789777200000,0,250.00000000000003,326.92307692307696
1789777200000,0,326.92307692307696,326.92307692307696
1789777200000,0,326.92307692307696,326.92307692307696
1789777446719,2,316.92307692307696,316.92307692307696
1789777461792,1,73.17307692307696,323.17307692307696
1789777462663,2,69.10227692307696,319.10227692307694
1789777477672,1,0.0,321.6085771223595
1789777500000,0,250.0,321.6085771223595
1789777500000,0,321.6085771223595,321.6085771223595
1789778339330,2,311.6085771223595,311.6085771223595
1789778354372,1,0.0,316.3538854034107
1789778400000,0,316.3538854034107,316.3538854034107
1789778641299,2,312.20428540341067,312.20428540341067
1789778656576,1,278.0019854034107,314.58198540341067
1789778656930,2,269.85238540341066,306.43238540341065
1789778671972,1,174.60393540341067,313.05393540341066
1789778672737,2,173.80393540341066,312.25393540341065
1789778687775,1,164.55393540341066,313.00393540341065
1789778687874,2,158.88393540341067,307.3339354034107
1789778700000,0,195.4639354034107,307.3339354034107
1789778700000,0,297.3339354034107,307.3339354034107
1789778700000,0,307.3339354034107,307.3339354034107
1789778700000,1,307.3339354034107,307.3339354034107
1789778700000,0,307.3339354034107,307.3339354034107
1789779462445,2,297.3339354034107,297.3339354034107
1789779477479,1,215.06120813068344,305.9702990397743
1789779478257,2,205.06120813068344,295.9702990397743
1789779493290,1,122.78848085795617,304.606662676138
1789779494134,2,112.78848085795617,294.606662676138
1789779509247,1,30.515753585228907,303.2430263125017
1789779509434,2,20.515753585228907,293.2430263125017
1789779524547,1,0.0,295.3966137054262
1789779600000,0,90.9090909090909,295.3966137054262
1789779600000,0,181.8181818181818,295.3966137054262
1789779600000,0,272.72727272727275,295.39661370542626
1789779600000,0,295.39661370542626,295.39661370542626
1789781971768,2,291.18611370542624,291.18611370542624
1789781986790,1,152.94136370542626,293.29136370542625
1789781987259,2,142.94136370542626,283.29136370542625
1789782000000,0,283.29136370542625,283.29136370542625
1789782000000,1,283.29136370542625,283.29136370542625
1789782000000,0,283.29136370542625,283.29136370542625
1789782234122,2,273.29136370542625,273.29136370542625
1789782249134,1,181.61636370542624,276.61636370542624
1789782249722,2,171.61636370542624,266.61636370542624
1789782264742,1,75.11636370542624,270.11636370542624
1789782265220,2,65.11636370542624,260.11636370542624
1789782280298,1,16.866363705426238,261.86636370542624
1789782280692,2,6.866363705426238,251.86636370542624
1789782295759,1,0.0,252.04242431325767
1789782300000,0,95.0,252.04242431325767
1789782300000,0,195.0,252.0424243132577
1789782300000,0,245.0,252.04242431325767
1789782300000,0,252.04242431325767,252.04242431325767
1789782393885,2,242.04242431325767,242.04242431325767
1789782408919,1,123.91742431325767,248.91742431325767
1789782409345,2,113.91742431325767,238.91742431325767
1789782424699,1,26.67502431325768,243.99502431325766
1789782425007,2,16.67502431325768,233.99502431325766
1789782440061,1,0.0,234.96552837381765
1789782600000,0,125.0,234.96552837381765
1789782600000,0,217.32,234.96552837381765
1789782600000,0,234.96552837381765,234.96552837381765
1789783937540,2,224.96552837381765,224.96552837381765
1789783952637,1,205.61942837381764,227.47942837381765
1789783952637,2,195.61942837381764,217.47942837381765
1789783967656,1,127.54250529689456,226.32558221997147
1789783968337,2,117.54250529689456,216.32558221997147
1789783983367,1,49.46558221997148,225.1717360661253
1789783983786,2,39.46558221997148,215.1717360661253
1789783999489,1,0.0,220.30003206081088
1789784100000,0,21.86,220.3000320608109
1789784100000,0,98.78307692307692,220.30003206081088
1789784100000,0,175.70615384615382,220.30003206081085
1789784100000,0,220.30003206081085,220.30003206081085
1789789478077,2,219.84003206081084,219.84003206081084
1789789493131,1,197.18503206081084,220.18503206081084
1789789493618,2,191.53603206081084,214.53603206081084
1789789500000,0,214.53603206081084,214.53603206081084
1789789500000,1,214.53603206081084,214.53603206081084
1789789500000,0,214.53603206081084,214.53603206081084
1789789737087,2,210.19283206081084,210.19283206081084
1789789752112,1,104.32733206081085,212.90733206081086
1789789752758,2,94.32733206081085,202.90733206081086
1789789767800,1,0.0,204.3437888942242
1789789800000,0,108.58,204.3437888942242
1789789800000,0,204.3437888942242,204.3437888942242
1789790654068,2,194.3437888942242,194.3437888942242
1789790669092,1,35.177122227557504,201.8437888942242
1789790669601,2,25.177122227557504,191.8437888942242
1789790684640,1,0.0,193.0301454389782
1789790700000,0,166.66666666666669,193.0301454389782
1789790700000,0,193.0301454389782,193.0301454389782
1789790855772,2,183.0301454389782,183.0301454389782
1789790871020,1,160.7470454389782,184.3270454389782
1789790871442,2,150.7470454389782,174.3270454389782
1789790886455,1,79.8720454389782,178.4520454389782
1789790886919,2,69.8720454389782,168.4520454389782
1789790901956,1,0.0,171.74444548584106
1789791000000,0,23.58,171.74444548584103
1789791000000,0,98.58,171.74444548584106
1789791000000,0,171.74444548584106,171.74444548584106
1789792960938,2,161.74444548584106,161.74444548584106
1789792975989,1,0.0,165.89173895983697
1789793100000,0,165.89173895983697,165.89173895983697
1789793621770,2,155.89173895983697,155.89173895983697
1789793636782,1,0.0,161.54584348169635
1789793700000,0,161.54584348169635,161.54584348169635
1789795148931,2,151.65344348169634,151.65344348169634
1789795163970,1,106.19719348169633,158.14719348169632
1789795164381,2,96.19719348169633,148.14719348169632
1789795179439,1,78.06719348169634,150.73719348169635
1789795180243,2,68.06719348169634,140.73719348169635
1789795195267,1,49.93719348169634,143.32719348169633
1789795196135,2,39.93719348169634,133.32719348169633
1789795200000,0,91.88719348169634,133.32719348169633
1789795200000,0,112.60719348169634,133.32719348169633
1789795200000,0,133.32719348169633,133.32719348169633
1789795200000,1,133.32719348169633,133.32719348169633
1789795200000,0,133.32719348169633,133.32719348169633
1789795680632,2,123.32719348169633,123.32719348169633
1789795695676,1,63.083443481696335,131.93344348169632
1789795696407,2,53.083443481696335,121.93344348169633
1789795711443,1,39.958443481696335,123.80844348169633
1789795712312,2,29.958443481696335,113.80844348169633
1789795727312,1,0.0,116.59146828600691
1789795800000,0,68.85,116.59146828600691
1789795800000,0,83.85,116.59146828600691
1789795800000,0,116.59146828600691,116.59146828600691
1789797233002,2,106.59146828600691,106.59146828600691
1789797248010,1,0.0,109.32458285744299
1789797300000,0,109.32458285744299,109.32458285744299
1789797752481,2,99.32458285744299,99.32458285744299
1789797767525,1,0.0,107.37792741345187
1789797900000,0,107.37792741345187,107.37792741345187
1789798046133,2,97.37792741345187,97.37792741345187
1789798061196,1,64.41962741345188,100.43962741345189
1789798061882,2,54.41962741345188,90.43962741345189
1789798076925,1,0.0,94.85202963616419
1789798200000,0,36.02,94.85202963616419
1789798200000,0,94.85202963616419,94.85202963616419
1789799847926,2,84.85202963616419,84.85202963616419
1789799862942,1,0.0,87.02772270375814
1789800000000,0,87.02772270375814,87.02772270375814
1789800549654,2,79.65772270375814,79.65772270375814
1789800564710,1,73.74807270375814,80.27807270375814
1789800600000,0,80.27807270375814,80.27807270375814
1789801147188,2,79.34567270375814,79.34567270375814
1789801162222,1,73.58477270375813,80.24477270375813
1789801200000,0,80.24477270375813,80.24477270375813
1789801374657,2,71.14477270375812,71.14477270375812
1789801389669,1,12.319772703758119,77.31977270375812
1789801390349,2,7.520972703758119,72.52097270375812
1789801405382,1,0.0,73.4982742415346
1789801500000,0,65.0,73.4982742415346
1789801500000,0,73.4982742415346,73.4982742415346
1789802332385,2,64.67827424153461,64.67827424153461
1789802347461,1,0.0,65.00329069500965
1789802400000,0,65.00329069500965,65.00329069500965
1789803252089,2,57.68469069500965,57.68469069500965
1789803267142,1,0.0,57.974563512572516
1789803300000,0,57.974563512572516,57.974563512572516
1789803840968,2,47.974563512572516,47.974563512572516
1789803855981,1,0.0,50.23514503934295
1789803900000,0,50.23514503934295,50.23514503934295
1789804338110,2,40.23514503934295,40.23514503934295
1789804353130,1,0.0,44.458723800378955
1789804500000,0,44.458723800378955,44.458723800378955
1789804726919,2,34.458723800378955,34.458723800378955
1789804741930,1,0.0,39.38139862900452
1789804800000,0,39.38139862900452,39.38139862900452
1789805230944,2,29.381398629004522,29.381398629004522
1789805246012,1,0.0,31.42395575294601
1789805400000,0,31.42395575294601,31.42395575294601
1789805542424,2,21.42395575294601,21.42395575294601
1789805557595,1,0.0,24.484520860509726
1789805700000,0,24.484520860509726,24.484520860509726
1789806077239,2,23.764520860509727,23.764520860509727
1789806092252,1,12.424520860509727,24.424520860509727
1789806093481,2,2.424520860509727,14.424520860509727
1789806108503,1,0.0,14.565630540221933
1789806300000,0,12.0,14.565630540221933
1789806300000,0,14.565630540221933,14.565630540221933
1789807145187,2,5.526030540221933,5.526030540221933
1789807160223,1,0.0,5.6101832895654145
1789807200000,0,5.6101832895654145,5.6101832895654145
1789807740692,2,0.9901832895654143,0.9901832895654143
1789807755835,1,0.0,1.036841140906193
1789807800000,0,1.036841140906193,1.036841140906193
