id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
101896,1789790685205,1789790701761,btc-updown-5m-1789790400,5m,DOWN->UP,0.06,0.44,63.0,0.5,0.495
102544,1789790855772,1789790871020,btc-updown-5m-1789790700,5m,DOWN->UP,0.07,0.94,23.58,1.01,-0.01500000000000001
102604,1789790871442,1789790886455,btc-updown-5m-1789790700,5m,DOWN->UP,0.07,0.94,75.0,1.01,-0.01500000000000001
102664,1789790886919,1789790901956,btc-updown-5m-1789790700,5m,DOWN->UP,0.07,0.95,226.63,1.02,-0.02500000000000002
102724,1789790902272,1789790917298,btc-updown-5m-1789790700,5m,DOWN->UP,0.06,0.95,85.53,1.01,-0.01500000000000001
102780,1789790917471,1789790932477,btc-updown-5m-1789790700,5m,DOWN->UP,0.06,0.96,267.0,1.02,-0.02500000000000002
102840,1789790933171,1789790948204,btc-updown-5m-1789790700,5m,DOWN->UP,0.05,0.96,191.79,1.01,-0.01500000000000001
102894,1789790948918,1789790963924,btc-updown-5m-1789790700,5m,DOWN->UP,0.05,0.97,525.79,1.02,-0.02500000000000002
102950,1789790964085,1789790979167,btc-updown-5m-1789790700,5m,DOWN->UP,0.04,0.97,283.19,1.01,-0.01500000000000001
103022,1789790979762,1789791000686,btc-updown-5m-1789790700,5m,DOWN->UP,0.04,0.38,102.2,0.42,0.5750000000000001
110300,1789792960938,1789792975989,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.97,417.35,1.01,-0.01500000000000001
110356,1789792975989,1789792991052,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.97,510.37,1.01,-0.01500000000000001
110416,1789792991942,1789793007000,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.98,538.2,1.02,-0.02500000000000002
110476,1789793007519,1789793022632,btc-updown-5m-1789792800,5m,DOWN->UP,0.03,0.97,221.3,1.0,-0.005
110534,1789793023529,1789793038532,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.97,445.08,1.01,-0.01500000000000001
110592,1789793039502,1789793054540,btc-updown-5m-1789792800,5m,DOWN->UP,0.04,0.97,185.05,1.01,-0.01500000000000001
