anchor_ts_ms,hedge_ts_ms,settle_ts,market_slug,leg1_budget,first_ask,second_ask,qty,leg1_cost,leg2_cost,friction,total_cost,pair_cost_net,status,payout,pnl
1789777477933,1789777492960,1789777492960,btc-updown-5m-1789777200,10.0,0.05,0.97,45.0,2.25,43.65,0.225,46.125,1.025,SETTLED,45.0,-1.125
1789777493786,1789777508789,1789777508789,btc-updown-5m-1789777200,10.0,0.04,0.44,142.9,5.716,62.876000000000005,0.7145,69.3065,0.485,SETTLED,142.9,73.5935
1789778339330,1789778354372,1789778354372,btc-updown-5m-1789778100,10.0,0.03,0.98,333.33333333333337,10.0,326.6666666666667,1.666666666666667,338.33333333333337,1.015,SETTLED,333.33333333333337,-5.0
1789778354971,1789778369985,1789778369985,btc-updown-5m-1789778100,10.0,0.03,0.98,209.71,6.2913,205.5158,1.04855,212.85565000000003,1.015,SETTLED,209.71,-3.1456500000000176
1789778370358,1789778385411,1789778385411,btc-updown-5m-1789778100,10.0,0.03,0.99,333.33333333333337,10.0,330.00000000000006,1.666666666666667,341.66666666666674,1.025,SETTLED,333.33333333333337,-8.333333333333371
1789778386010,1789778401729,1789778401729,btc-updown-5m-1789778100,10.0,0.02,0.51,93.49,1.8698,47.679899999999996,0.46745,50.017149999999994,0.535,SETTLED,93.49,43.47285
1789778641299,1789778656576,1789778656576,btc-updown-5m-1789778400,10.0,0.08,0.93,36.58,2.9264,34.0194,0.1829,37.128699999999995,1.015,SETTLED,36.58,-0.5486999999999966
1789778656930,1789778671972,1789778671972,btc-updown-5m-1789778400,10.0,0.08,0.93,101.87,8.149600000000001,94.73910000000001,0.5093500000000001,103.39805000000001,1.015,SETTLED,101.87,-1.5280500000000075
1789778672737,1789778687775,1789778687775,btc-updown-5m-1789778400,10.0,0.08,0.92,10.0,0.8,9.200000000000001,0.05,10.050000000000002,1.005,SETTLED,10.0,-0.05000000000000249
1789778687874,1789778703092,1789778703092,btc-updown-5m-1789778400,10.0,0.09,0.47,53.0,4.77,24.91,0.265,29.945,0.565,SETTLED,53.0,23.055
1789779462445,1789779477479,1789779477479,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779478257,1789779493290,1789779493290,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
1789779494134,1789779509247,1789779509247,btc-updown-5m-1789779300,10.0,0.11,0.9,90.9090909090909,10.0,81.81818181818181,0.45454545454545453,92.27272727272727,1.015,SETTLED,90.9090909090909,-1.3636363636363598
